==================================================
SLURM ARRAY TASK ID: 12 / 224
Running on node: x1002c5s1b0n1
Start time: Tue Sep  8 04:18:49 AM EDT 2026
==================================================
Reading parameters from sweep_configs_sweet_spot/config_012.json...
Executing 3D FDTD Simulation: Alpha=70.0 deg, Theta=82.0 deg, d=0.25 um, L=2.0 um, Res=40...
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.861928e-03
